2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
神奈川県 66kV 50,三崎線,66,2,132,74,熱容量,66,0,可,58,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 51,三崎線,66,2,294,167,熱容量,147,0,可,127,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 52,長坂線,66,2,132,74,熱容量,66,0,可,58,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 53,大道線,66,2,158,89,熱容量,79,0,可,69,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 54,貝山線,66,2,224,224,熱容量,0,0,可,0,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 55,北鎌倉線,66,2,444,254,熱容量,217,0,可,190,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 56,北鎌倉線,66,2,444,254,熱容量,217,0,可,190,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 57,鎌倉線,66,2,66,66,熱容量,66,0,可,0,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 58,中野町線,66,2,372,212,熱容量,166,0,可,160,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 59,中野町線,66,2,102,57,熱容量,51,0,可,45,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 60,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送117,上位系（送103）による制約
神奈川県 66kV 61,本牧線,66,2,294,167,熱容量,147,0,可,127,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 62,本牧線,66,2,294,167,熱容量,147,0,可,127,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 63,本牧線,66,2,168,94,熱容量,84,0,可,74,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 64,上永谷線,66,2,184,104,熱容量,92,0,可,80,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 65,品濃線,66,2,208,118,熱容量,104,0,可,90,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 66,吉田線,66,2,66,66,熱容量,66,0,可,0,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 67,吉田線,66,2,66,66,熱容量,66,0,可,0,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 68,和田線,66,2,66,66,熱容量,66,0,可,0,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 69,戸岩線1.2L,66,2,184,104,熱容量,90,0,可,80,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 70,戸岩線3.4L,66,2,184,104,熱容量,92,0,可,80,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 71,戸岩線3.4L,66,2,184,104,熱容量,92,0,可,80,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 72,送電線,66,2,47,47,熱容量,47,0,可,0,有り,-,変18,◇　上位系（送神奈川154kV30）による制約
神奈川県 66kV 73,片瀬線,66,2,66,66,熱容量,66,0,可,0,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 74,片瀬線,66,2,0,0,熱容量,0,0,可,0,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 75,大船線,66,2,66,66,熱容量,66,0,可,0,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 76,大和線,66,2,372,212,熱容量,186,0,可,160,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 77,大和線,66,2,372,212,熱容量,186,0,可,160,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 78,市沢線,66,2,372,212,熱容量,186,0,可,160,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 79,市沢線,66,2,372,212,熱容量,186,0,可,160,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 80,鶴ヶ峰線,66,2,66,66,熱容量,66,0,可,0,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 81,妙蓮寺線,66,2,184,104,熱容量,92,0,可,80,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 66kV 82,戸六線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 83,戸六線,66,2,184,104,熱容量,92,92,可,0,-,-,-,
神奈川県 66kV 84,六会引込線,66,2,-,-,-,92,92,-,-,-,-,-,◇
神奈川県 66kV 85,香川線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 86,香川線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 87,送電線,66,2,94,53,熱容量,47,47,可,41,-,-,-,
神奈川県 66kV 88,藤沢南口線,66,2,236,148,熱容量,118,118,可,88,-,-,-,
神奈川県 66kV 89,大庭線,66,2,274,155,熱容量,137,137,可,119,-,-,-,
神奈川県 66kV 90,大庭線,66,2,444,254,熱容量,222,137,可,190,-,-,-,
神奈川県 66kV 91,送電線,66,2,-,-,-,104,104,-,-,-,-,-,
神奈川県 66kV 92,茅ヶ崎線1.2L,66,2,294,167,熱容量,147,147,可,127,-,-,-,
神奈川県 66kV 93,茅ヶ崎線1.2L,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 94,湘南茅ヶ崎線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 95,湘南茅ヶ崎線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 96,送電線,66,2,-,-,-,66,66,-,-,-,-,-,
神奈川県 66kV 97,馬入線,66,2,122,68,熱容量,61,61,可,54,-,-,-,
神奈川県 66kV 98,茅ヶ崎線3.4L,66,2,294,167,熱容量,147,147,可,127,-,-,-,
神奈川県 66kV 99,茅ヶ崎線3.4L,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 100,辻堂線,66,2,208,118,熱容量,104,104,可,90,-,-,-,
神奈川県 66kV 101,用田線3.4L,66,2,372,212,熱容量,186,0,可,160,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 102,用田線3.4L,66,2,372,212,熱容量,186,0,可,160,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 103,用田線3.4L,66,2,372,212,熱容量,186,0,可,160,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 104,用田線3.4L,66,2,444,254,熱容量,222,0,可,190,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 66kV 105,送電線,66,2,132,74,熱容量,66,0,可,58,有り,-,変18,上位系（送神奈川154kV30）による制約
